"occurrenceStatus.2";"geometry.2";"pred.2"
1;c(11.105475, 64.826587);0,531
1;c(10.999491, 62.208382);0,686
1;c(9.81461, 63.678984);0,531
1;c(11.149503, 64.827842);0,531
1;c(10.271313, 64.118086);0,816
1;c(10.983033, 61.957192);0,606
1;c(11.7, 59.3);0,385
1;c(11.7, 60);0,639
1;c(17.43328, 62.93001);0,546
1;c(18.46027, 63.16201);0,481
1;c(15.48464, 57.76542);0,439
1;c(15.37714, 56.38477);0,291
1;c(15.65606, 58.87928);0,492
1;c(17.53637, 62.87166);0,584
1;c(15.71889, 56.30825);0,208
1;c(18.32172, 63.04714);0,631
1;c(18.23655, 63.31524);0,567
1;c(14.88772, 62.98572);0,494
1;c(9.550915, 62.985731);0,89
1;c(13.124817, 68.07167);0,835
1;c(9.738825, 60.988147);0,659
1;c(15.478224, 67.194344);0,852
1;c(9.894036, 62.365027);0,699
1;c(9.003374, 61.00617);0,488
1;c(15.345875, 67.380227);0,851
1;c(14.507801, 67.012423);0,849
1;c(11.813681, 62.828973);0,761
1;c(12.168175, 65.914443);0,531
1;c(9.594133, 62.4417);0,806
1;c(10.093102, 61.119917);0,767
1;c(8.732685, 61.484027);0,816
1;c(14.01052, 67.164775);0,531
1;c(9.624451, 59.534009);0,617
1;c(9.0785, 61.678202);0,68
1;c(9.604751, 62.301187);0,753
1;c(15.28947, 67.234044);0,531
1;c(14.542835, 67.162784);0,846
1;c(14.871915, 67.910846);0,531
1;c(9.015007, 61.804154);0,713
1;c(5.739803, 58.53815);0,531
1;c(15.708992, 68.170833);0,531
1;c(9.209025, 61.64629);0,71
1;c(14.571366, 67.051182);0,837
1;c(19.249046, 69.704463);0,869
1;c(9.61245, 60.889033);0,487
1;c(9.81201, 62.177743);0,75
1;c(11.724021, 59.314247);0,369
1;c(8.988498, 61.869609);0,615
1;c(8.966435, 61.713508);0,694
1;c(9.578646, 61.52789);0,706
1;c(8.442655, 61.798555);0,866
1;c(19.213446, 69.744097);0,873
1;c(15.085471, 67.010876);0,82
1;c(13.537917, 66.902837);0,531
1;c(14.338495, 66.825737);0,856
1;c(9.732105, 61.377402);0,64
1;c(8.413684, 59.611973);0,708
1;c(18.815735, 69.600902);0,834
1;c(10.198726, 62.170035);0,734
1;c(9.069679, 61.701195);0,68
1;c(14.331848, 66.835411);0,857
1;c(8.822831, 61.555427);0,817
1;c(9.610914, 60.994916);0,461
1;c(9.591474, 62.309078);0,753
1;c(14.296814, 67.28569);0,531
1;c(8.683592, 60.958934);0,816
1;c(10.351583, 61.105448);0,505
1;c(9.712827, 61.410279);0,64
1;c(9.715801, 59.5706);0,626
1;c(14.865187, 67.21994);0,531
1;c(9.053536, 61.55191);0,801
1;c(14.151816, 66.879363);0,852
1;c(12.340633, 66.371036);0,81
1;c(9.0444, 61.879836);0,716
1;c(9.647655, 61.538081);0,686
1;c(9.647816, 61.018673);0,668
1;c(16.381785, 68.103176);0,859
1;c(9.56951, 62.487357);0,792
1;c(6.099255, 60.398789);0,83
1;c(6.080517, 60.538269);0,836
1;c(9.651571, 61.064733);0,742
1;c(12.333842, 66.362152);0,81
1;c(10.2653, 61.408422);0,503
1;c(9.042091, 61.721042);0,688
1;c(10.507872, 60.97231);0,56
1;c(5.575115, 58.645275);0,531
1;c(5.802326, 58.513409);0,647
1;c(8.955584, 61.617625);0,685
1;c(15.475134, 67.415639);0,851
1;c(7.162007, 59.861443);0,856
1;c(14.040012, 66.773758);0,851
1;c(8.906661, 61.550562);0,734
1;c(11.12515, 63.357305);0,846
1;c(9.165098, 61.725702);0,663
1;c(10.907704, 59.979931);0,455
1;c(8.927394, 61.578109);0,712
1;c(9.106132, 62.052108);0,58
1;c(9.495399, 61.437362);0,607
1;c(9.99215, 61.634377);0,597
1;c(14.349518, 67.259);0,756
1;c(6.776432, 60.289229);0,853
1;c(8.451009, 61.787091);0,854
1;c(9.020684, 61.655965);0,684
1;c(14.829011, 67.018478);0,858
