"occurrenceStatus";"geometry";"pred"
1;c(14.27659, 63.66882);0,625
1;c(15.76339, 58.63491);0,252
1;c(14.25278, 57.432);0,369
1;c(14.14259, 57.53266);0,497
1;c(14.65335, 58.03122);0,187
1;c(11.36754, 58.43291);0,383
1;c(16.59302, 62.65218);0,54
1;c(15.57258, 58.13754);0,229
1;c(15.54359, 57.96348);0,33
1;c(15.52582, 62.72746);0,612
1;c(16.42162, 58.85523);0,259
1;c(16.90611, 59.18739);0,189
1;c(13.94121, 58.03266);0,26
1;c(13.85764, 57.55968);0,271
1;c(12.81766, 59.88454);0,631
1;c(17.53134, 60.53641);0,877
1;c(17.72146, 62.61126);0,22
1;c(12.54134, 60.14922);0,554
1;c(12.63233, 60.44749);0,714
1;c(12.76258, 59.92011);0,864
1;c(14.64089, 63.10024);0,475
1;c(15.83349, 60.04988);0,533
1;c(12.76406, 59.93806);0,86
1;c(14.07247, 59.38016);0,433
1;c(13.27073, 57.38797);0,058
1;c(13.24203, 66.662104);1
1;c(13.224728, 66.7218);0,998
1;c(13.212367, 66.516969);0,998
1;c(13.247473, 66.719446);1
1;c(17.38033, 59.98896);0,204
1;c(11.769987, 65.841767);1
1;c(11.763726, 65.84673);1
1;c(11.903729, 65.853125);1
1;c(13.065897, 65.942374);1
1;c(12.528974, 65.889065);0,998
1;c(14.552582, 67.212607);1
1;c(12.442556, 65.866542);0,922
1;c(12.45807, 65.954825);1
1;c(11.270461, 60.550275);0,724
1;c(14.581085, 67.374957);0,996
1;c(13.786885, 66.689007);1
1;c(11.402343, 60.7165);0,802
1;c(11.615585, 59.305646);0,641
1;c(15.04087, 67.27323);1
1;c(13.057022, 66.637547);0,998
1;c(16.177437, 68.322075);1
1;c(13.38497, 66.013238);1
1;c(13.078716, 66.152926);1
1;c(16.214977, 68.325825);1
1;c(12.474186, 65.873439);0,922
1;c(17.38223, 68.434);0,973
1;c(16.237911, 68.325055);1
1;c(14.503722, 67.333431);1
1;c(12.495799, 65.876802);1
1;c(18.24441, 59.81821);0,4
1;c(14.415436, 66.979188);1
1;c(14.182431, 66.789624);1
1;c(15.310472, 67.000843);0,979
1;c(14.398134, 67.180106);0,998
1;c(15.177261, 67.091579);0,997
1;c(14.394928, 66.937576);1
1;c(11.867679, 65.70464);1
1;c(12.955117, 66.228968);1
1;c(14.998865, 66.725318);0,996
1;c(14.753095, 67.416881);1
1;c(14.174211, 66.785956);1
1;c(13.381781, 66.00757);1
1;c(14.40754, 67.183872);0,998
1;c(11.7047, 62.6406);0,99
1;c(13.7829, 66.1608);1
1;c(11.2229, 63.1973);0,939
1;c(16.15155, 59.20513);0,213
1;c(14.9876, 57.84);0,163
1;c(17.41486, 59.50683);0,254
1;c(18.3639, 59.91419);0,434
1;c(17.61276, 60.13426);0,311
1;c(15.18313, 58.19487);0,146
1;c(15.45516, 57.03048);0,5
1;c(15.04083, 60.30636);0,758
1;c(12.4373, 63.25941);0,898
1;c(12.95017, 63.14812);0,865
1;c(12.92514, 63.15104);0,865
1;c(14.19583, 62.50993);0,556
1;c(12.97386, 63.4009);0,607
1;c(15.15682, 61.13321);0,679
1;c(14.03786, 63.40022);0,702
1;c(14.32, 63.32185);0,006
1;c(17.54854, 58.97132);0,016
1;c(15.53552, 56.65014);0,324
1;c(13.08547, 63.40997);0,932
1;c(12.822095, 67.834956);1
1;c(12.992069, 68.009654);1
1;c(12.850046, 67.851995);1
1;c(13.089388, 68.110509);1
1;c(12.835969, 67.845824);1
1;c(12.85681, 67.859128);1
1;c(13.097733, 68.078752);1
1;c(13.077586, 68.06811);1
1;c(12.87226, 67.845438);1
1;c(12.862028, 67.852026);1
1;c(12.871216, 67.855583);1
1;c(13.334381, 66.003241);1
